id,name,create_date,sent_date,subscription_name,sent,open,delivered,bounce,unsubscribed,click,reply,dropped,selected,spamreport,suppressed,hardbounced,softbounced,pending,contactslost,notsent
144342588451,Invitación Evento Banca Brasil 9 de nov (Clon),2023-11-07,2023-11-07,Marketing Information,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143744053277,Invitación Evento Banca Brasil 9 de nov,2023-11-03,2023-11-07,Marketing Information,8,1.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143096665257,Recordatorio Evento Banca Brasil 9 de nov,2023-11-01,2023-11-01,Marketing Information,12,4.0,12.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142764564263,Invitación para Do Brasil Evento Banca,2023-10-30,2023-10-30,Marketing Information,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142011344487,Invitación Evento Banca Brasil 9 de nov,2023-10-25,2023-10-26,Marketing Information,20,3.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141716059301,Newsletter - 24 oct,2023-10-24,2023-10-24,Debmedia Blog Subscription,828,146.0,823.0,5.0,3.0,2.0,0.0,104.0,1156.0,1.0,224.0,4.0,1.0,0.0,8.0,328.0
141610959201,2do recordatorio Evento Banca Paraguay 26 de octubre,2023-10-23,2023-10-23,Marketing Information,15,5.0,14.0,1.0,0.0,3.0,0.0,3.0,21.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0
140860551578,Invitación Evento Banca Paraguay 26 de octubre (Clon),2023-10-18,2023-10-18,Marketing Information,3,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140492297543,Newsletter - 17 oct,2023-10-16,2023-10-17,Debmedia Blog Subscription,821,218.0,820.0,1.0,3.0,21.0,0.0,100.0,1144.0,0.0,223.0,0.0,1.0,0.0,3.0,323.0
139580929666,Cancelación Tempetié octubre Argentina Banca,2023-10-10,2023-10-10,Marketing Information,9,8.0,9.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
139367870229,Newsletter - 9 oct,2023-10-09,2023-10-10,Debmedia Blog Subscription,827,188.0,817.0,10.0,7.0,9.0,0.0,82.0,1128.0,0.0,219.0,9.0,1.0,0.0,16.0,301.0
139079560332,Invitación Evento Banca Paraguay 26 de octubre,2023-10-06,2023-10-06,Marketing Information,8,2.0,6.0,2.0,0.0,1.0,0.0,2.0,13.0,0.0,3.0,1.0,1.0,0.0,1.0,5.0
81915881339,Mail 4: Flujo Suscriptores newsletter,2022-08-13,2023-10-05,Nada,329,54.0,329.0,0.0,1.0,0.0,0.0,36.0,373.0,0.0,8.0,0.0,0.0,0.0,1.0,44.0
81917965397,Mail 3: Flujo Suscriptores newsletter,2022-08-13,2023-10-05,Nada,338,70.0,338.0,0.0,1.0,1.0,0.0,34.0,374.0,0.0,2.0,0.0,0.0,0.0,1.0,36.0
81918008722,Mail 2: Flujo Suscriptores newsletter,2022-08-13,2023-10-05,Nada,340,72.0,338.0,2.0,2.0,3.0,0.0,33.0,374.0,0.0,1.0,1.0,1.0,0.0,3.0,34.0
81881824411,Mail 1: Flujo Suscriptores newsletter,2022-08-13,2023-10-05,Nada,348,96.0,347.0,1.0,7.0,4.0,0.0,26.0,374.0,0.0,0.0,1.0,0.0,0.0,8.0,26.0
137961018791,Invitación Tempetié Abril Argentina Banca 4 envío,2023-10-04,2023-10-04,Marketing Information,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137483708241,Newsletter - 2 oct,2023-10-02,2023-10-03,Debmedia Blog Subscription,188,76.0,188.0,0.0,1.0,2.0,0.0,151.0,1294.0,0.0,955.0,0.0,0.0,0.0,1.0,1106.0
137118182217,Invitación Tempetié Abril Argentina Banca 3 envío,2023-09-29,2023-09-29,Marketing Information,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136462569024,Newsletter - 26 sep,2023-09-25,2023-09-26,Debmedia Blog Subscription,190,64.0,190.0,0.0,0.0,0.0,0.0,151.0,1293.0,0.0,952.0,0.0,0.0,0.0,0.0,1103.0
135994215731,Invitación Tempetié Abril Argentina Banca,2023-09-21,2023-09-25,Marketing Information,6,3.0,6.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135967763864,Invitación Tempetié Abril Argentina Banca,2023-09-21,2023-09-21,Marketing Information,9,5.0,9.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
135462165627,Newsletter - 19 sep,2023-09-18,2023-09-19,Debmedia Blog Subscription,193,69.0,193.0,0.0,0.0,2.0,0.0,151.0,1293.0,0.0,949.0,0.0,0.0,0.0,0.0,1100.0
134535616835,Newsletter - 12 sep,2023-09-12,2023-09-12,Debmedia Blog Subscription,195,64.0,195.0,0.0,0.0,2.0,0.0,151.0,1291.0,0.0,945.0,0.0,0.0,0.0,0.0,1096.0
132926866274,Newsletter - 5 sep,2023-09-01,2023-09-05,Debmedia Blog Subscription,195,72.0,195.0,0.0,0.0,4.0,0.0,151.0,1291.0,0.0,945.0,0.0,0.0,0.0,0.0,1096.0
132929933341,Mail 3: Campaña ebook Laboratorios Brasil,2023-09-01,2023-09-01,Nada,62,14.0,62.0,0.0,0.0,4.0,0.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
132930144576,Mail 2: Campaña ebook Laboratorios Brasil,2023-09-01,2023-09-01,Nada,93,28.0,93.0,0.0,0.0,0.0,0.0,4.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
132927488270,Mail 1: Campaña ebook Laboratorios Brasil,2023-09-01,2023-09-01,Nada,96,52.0,95.0,1.0,1.0,37.0,0.0,1.0,97.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
131698114618,Newsletter - 29 agosto,2023-08-25,2023-08-29,Debmedia Blog Subscription,222,93.0,222.0,0.0,0.0,2.0,0.0,152.0,1291.0,0.0,917.0,0.0,0.0,0.0,0.0,1069.0
130762032938,Newsletter - 15 agosto,2023-08-18,2023-08-22,Debmedia Blog Subscription,225,80.0,225.0,0.0,0.0,4.0,0.0,151.0,1291.0,0.0,915.0,0.0,0.0,0.0,0.0,1066.0
130015231031,Newsletter - 15 agosto,2023-08-14,2023-08-15,Debmedia Blog Subscription,227,72.0,227.0,0.0,0.0,1.0,0.0,150.0,1287.0,0.0,910.0,0.0,0.0,0.0,0.0,1060.0
128466071853,Newsletter: Modelos de atención,2023-08-05,2023-08-08,Debmedia Blog Subscription,227,95.0,227.0,0.0,0.0,3.0,0.0,150.0,1285.0,0.0,908.0,0.0,0.0,0.0,0.0,1058.0
127699296047,Newsletter - 1 agosto,2023-07-31,2023-08-01,Debmedia Blog Subscription,226,98.0,226.0,0.0,0.0,5.0,0.0,150.0,1282.0,0.0,906.0,0.0,0.0,0.0,0.0,1056.0
126825053750,Newsletter - 25 de julio,2023-07-24,2023-07-25,Debmedia Blog Subscription,232,99.0,232.0,0.0,2.0,7.0,0.0,149.0,1283.0,0.0,902.0,0.0,0.0,0.0,2.0,1051.0
124812212769,Mail 3: Invitación Webinar Partners Julio 2023,2023-07-14,2023-07-24,Nada,117,46.0,117.0,0.0,0.0,8.0,0.0,26.0,236.0,0.0,93.0,0.0,0.0,0.0,0.0,119.0
125631603608,Comunicado Novedad 20 de julio 2023,2023-07-20,2023-07-20,Marketing Information,916,309.0,898.0,18.0,2.0,6.0,0.0,272.0,1818.0,0.0,630.0,1.0,17.0,0.0,3.0,902.0
124808824754,Mail 2: Invitación Webinar Partners Julio 2023,2023-07-14,2023-07-20,Nada,123,47.0,122.0,1.0,0.0,5.0,0.0,26.0,236.0,0.0,87.0,0.0,1.0,0.0,0.0,113.0
125516985438,Recordatorio Cena evento Banca México,2023-07-19,2023-07-20,Marketing Information,10,6.0,8.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
125050851400,Newsletter - 18 de julio,2023-07-17,2023-07-18,Debmedia Blog Subscription,246,89.0,246.0,0.0,0.0,4.0,0.0,149.0,1284.0,0.0,889.0,0.0,0.0,0.0,0.0,1038.0
125185060096,Aviso a los comerciales de bajo seguimiento,2023-07-17,2023-07-17,Equipo de Sales & Marketing,0,,,,,,,,,,,,,,,
123007665557,3ra Invitación México Cena evento Banca 20 julio,2023-06-30,2023-07-17,Marketing Information,25,7.0,24.0,1.0,0.0,0.0,2.0,0.0,27.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
124787966567,Mail 1: Invitación Webinar Partners Julio 2023,2023-07-14,2023-07-17,Nada,130,57.0,128.0,2.0,1.0,11.0,0.0,25.0,236.0,0.0,81.0,0.0,2.0,0.0,1.0,106.0
124834763831,Comunicado Novedad presentada en actualización del sistema julio,2023-07-14,2023-07-15,Marketing Information,946,336.0,911.0,35.0,0.0,8.0,0.0,254.0,1813.0,0.0,613.0,17.0,18.0,0.0,17.0,867.0
124813629048,Confirmación registro Webinar Partners julio 2023,2023-07-14,2023-07-14,Nada,47,31.0,46.0,1.0,0.0,21.0,0.0,0.0,50.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0
124060024929,Newsletter - 11 de julio,2023-07-10,2023-07-11,Debmedia Blog Subscription,246,110.0,246.0,0.0,0.0,6.0,0.0,149.0,1284.0,0.0,889.0,0.0,0.0,0.0,0.0,1038.0
123009404492,2da Invitación México Cena evento Banca 20 julio,2023-06-30,2023-07-07,Marketing Information,27,6.0,25.0,2.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
123481139815,Recordatorio Cena evento Banca Colombia,2023-07-05,2023-07-05,Marketing Information,14,6.0,14.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123393373988,Release debQ v3.91.0 / Citas v1.55.0 / Mobile v1.50.0,2023-07-04,2023-07-05,Marketing Information,724,306.0,718.0,6.0,0.0,7.0,0.0,252.0,1771.0,0.0,795.0,0.0,6.0,0.0,0.0,1047.0
123280436087,Newsletter - 4 de julio,2023-07-03,2023-07-04,Debmedia Blog Subscription,250,94.0,250.0,0.0,0.0,8.0,0.0,149.0,1284.0,0.0,885.0,0.0,0.0,0.0,0.0,1034.0
